text,label,source
Claim your loan approved by sending <PERSON> immediately.,S4_LoanJob,mendeley_financial
"Your account has been suspended, verify <PERSON> now!",S1_AccountCompromise,mendeley_financial
Please ignore unknown SMS.,L0_Ham,mendeley_financial
Payment received successfully.,L0_Ham,mendeley_financial
Send your <PERSON> to claim your prize!,S3_LotteryPrize,mendeley_financial
Your debit card has been blocked.,S1_AccountCompromise,mendeley_financial
"New offers available, accept <DATE_TIME>!",L0_Ham,mendeley_financial
"Your account is at risk, immediate action required.",L0_Ham,mendeley_financial
"Your mobile recharge was successful, thank you.",L0_Ham,mendeley_financial
"Your loan application is approved, send <PERSON> now!",S4_LoanJob,mendeley_financial
Account hacked! Open the app now to secure it.,L0_Ham,mendeley_financial
Update your account details to avoid suspension.,L0_Ham,mendeley_financial
Thank you for using our service.,L0_Ham,mendeley_financial
"নতুন অফার এসেছে, আজই <PERSON>।",L0_Ham,mendeley_financial
Claim your loan approved by sending <PERSON>.,S4_LoanJob,mendeley_financial
"Fraudulent transaction detected, provide OTP.",S1_AccountCompromise,mendeley_financial
"Your account suspended, verify <PERSON> now!",S1_AccountCompromise,mendeley_financial
সাবধান! আপনার একাউন্ট থেকে অস্বীকৃত টাকা উত্তোলন হয়েছে। জরুরি যাচাই করুন।,L0_Ham,mendeley_financial
"আপনার মোবাইল ব্যাংকিং একাউন্ট বন্ধ হতে যাচ্ছে, এখনি লগইন করুন।",S1_AccountCompromise,mendeley_financial
"আপনার একাউন্ট চালু রয়েছে, সর্বশেষ ব্যালেন্স ১০,০০০ টাকা।",L0_Ham,mendeley_financial
"ডেবিট <DATE_TIME> সীমিত <PERSON>, অন্যথায় একাউন্ট ব্লক হবে।",S1_AccountCompromise,mendeley_financial
নতুন অফার! আপনার একাউন্টে নগদ টাকা রিফান্ড করা হয়েছে,L0_Ham,mendeley_financial
ব্যাংকের তরফ থেকে জরুরি বার্তা: আপনার একাউন্ট আপডেট করুন আজই।,L0_Ham,mendeley_financial
"আপনার মোবাইল ব্যাংকিং PIN পরিবর্তন করা হয়েছে, যদি না করেন তবে রিপোর্ট করুন।",L0_Ham,mendeley_financial
একাউন্ট সিকিউরিটি হুমকি! নিম্নলিখিত OTP দিয়ে যাচাই সম্পন্ন করুন।,S1_AccountCompromise,mendeley_financial
আপনার ব্যালেন্স ৫০০০ টাকার নিচে এসে গেছে।,L0_Ham,mendeley_financial
"আপনার ডেবিট কার্ডের নিরাপত্তা লঙ্ঘিত হয়েছে, অবিলম্বে যাচাই করতে OTP দিন।",S1_AccountCompromise,mendeley_financial
"আপনার ডেবিট কার্ড থেকে ৫০০০ টাকা কাটা হয়েছে, অবিলম্বে TRX কোড পাঠান।",L0_Ham,mendeley_financial
Congratulations! You won a prize. Please send <PERSON> to claim.,S3_LotteryPrize,mendeley_financial
আপনার মোবাইল অ্যাপ্লিকেশন আপডেট সফল হয়েছে।,L0_Ham,mendeley_financial
নিরাপত্তার জন্য আপনার ফোন থেকে আমাদের কনফার্মেশন চান।,L0_Ham,mendeley_financial
Your debit card transaction of 5000 taka was declined. Contact support.,L0_Ham,mendeley_financial
Update your payment information immediately to avoid suspension.,L0_Ham,mendeley_financial
Refund of 100 taka has been processed to your account.,L0_Ham,mendeley_financial
Your online banking password expired. Reset it via the provided link.,S6_PhishingLink,mendeley_financial
Your account balance is low. Add funds to continue service.,L0_Ham,mendeley_financial
"To secure your account, provide the <PERSON> sent to your registered phone.",L0_Ham,mendeley_financial
Payment of 2500 <PERSON> received. Thanks for banking with us,L0_Ham,mendeley_financial
Your credit card limit has been increased. Check details in app.,L0_Ham,mendeley_financial
Verify your identity to avoid account suspension. OTP required.,S1_AccountCompromise,mendeley_financial
Your request to withdraw 5000 taka was successful.,L0_Ham,mendeley_financial
Last chance: Provide <PERSON> to claim your prize money now.,S3_LotteryPrize,mendeley_financial
Your scheduled payment will be processed <DATE_TIME>.,L0_Ham,mendeley_financial
Alert! Unauthorized login attempt detected. Confirm with <PERSON> immediately.,S1_AccountCompromise,mendeley_financial
"Your internet banking password expired, reset it <DATE_TIME> to avoid service disruption.",S1_AccountCompromise,mendeley_financial
"Congratulations! You won BDT 5,000 cashback. Submit OTP to receive.",S1_AccountCompromise,mendeley_financial
Verify your identity by entering the <PERSON> sent to your mobile to continue transactions.,S1_AccountCompromise,mendeley_financial
Your debit card ending 1234 has been temporarily blocked for suspicious activity.,S1_AccountCompromise,mendeley_financial
"BDT 35,000 loan approved. Confirm by sending <PERSON> within <DATE_TIME>.",S4_LoanJob,mendeley_financial
"OTP validation required to complete your BDT 20,000 transfer.",S1_AccountCompromise,mendeley_financial
"Your recent transaction of BDT 7,500 has been verified",L0_Ham,mendeley_financial
Secure your account now! <PERSON> sent to your registered contact.,L0_Ham,mendeley_financial
"BDT 15,000 payment received from your account.",L0_Ham,mendeley_financial
"Your loan payment of BDT 10,000 is overdue. Please pay immediately to avoid penalties.",S4_LoanJob,mendeley_financial
New job opportunity with high salary. Send your CV to apply immediately.,S4_LoanJob,mendeley_financial
Exclusive offer: Double your money in <DATE_TIME> with our secret scheme.,S2_FakePromo,mendeley_financial
"Your lottery ticket won BDT 1,00,000. Send your details for prize delivery.",S3_LotteryPrize,mendeley_financial
Join our online trading platform for guaranteed profits.,L0_Ham,mendeley_financial
Beware of strangers asking for your financial details over chat or SMS.,L0_Ham,mendeley_financial
Your KYC verification is complete. Thank you for your cooperation.,L0_Ham,mendeley_financial
"Earn BDT 2,000 <DATE_TIME> working from home. Register now!",S4_LoanJob,mendeley_financial
Congratulations! You are shortlisted for a luxury car giveaway.,L0_Ham,mendeley_financial
Investment opportunity with zero risk and high returns. Contact us.,S4_LoanJob,mendeley_financial
Avoid fake schemes promising overnight wealth. Stay cautious.,L0_Ham,mendeley_financial
Free smartphone giveaway for lucky winners. Reply to participate.,S2_FakePromo,mendeley_financial
Your online order has been shipped successfully.,L0_Ham,mendeley_financial
Your health insurance claim has been approved. Contact for details.,L0_Ham,mendeley_financial
বিশাল বিনিয়োগের সুযোগ! দ্রুত আজই ফোন করুন।,L0_Ham,mendeley_financial
আপনার লাইভ লটারি জেতা হয়েছে! এখনই প্রমাণ পাঠান।,S3_LotteryPrize,mendeley_financial
অবৈধ আর্থিক লেনদেন এড়ানোর জন্য সতর্ক থাকুন।,L0_Ham,mendeley_financial
দ্রুত বিনিয়োগ করুন এবং মাসে কোটি টাকা উপার্জন করুন।,L0_Ham,mendeley_financial
আপনার একটি চূড়ান্ত সুযোগ! আজই অংশ নিন এবং বড় লাভ করুন।,L0_Ham,mendeley_financial
বিনামূল্যে ব্যাংক সাবসক্রিপশন পেতে আজই যোগাযোগ করুন।,L0_Ham,mendeley_financial
বনধের পরিসীমা থেকে প্রাইভেট জেনারেশন শুরু হয়েছে। <PERSON>।,L0_Ham,mendeley_financial
হারানো পণ্য পুনরুদ্ধার করতে আমাদের সাথে যোগাযোগ করুন।,L0_Ham,mendeley_financial
দ্রুত উপার্জনের জন্য আজই যোগ দিন। প্রতিদিন BDT 2000 থেকে BDT 5000 পর্যন্ত উপার্জন।,L0_Ham,mendeley_financial
বিনিয়োগের জন্য দুর্দান্ত সুযোগ! ব্যাঙ্কের পার্টনারশিপে বড় লাভ।,L0_Ham,mendeley_financial
"আপনার একাউন্ট থেকে অজানা লেনদেন হয়েছে, দ্রুত যাচাই করুন।",L0_Ham,mendeley_financial
"আপনার মোবাইল রিচার্জ সফল হয়েছে, <PERSON>।",L0_Ham,mendeley_financial
জরুরি! OTP দিয়ে একাউন্ট যাচাই করুন না হলে ব্লক হবে।,S1_AccountCompromise,mendeley_financial
"আজকের বিশেষ অফার থেকে সুযোগ নিন, আজই কল করুন।",S2_FakePromo,mendeley_financial
"আপনার লোন আবেদন সফল হয়েছে, ফর্ম <PERSON> জন্য OTP প্রদান করুন।",S1_AccountCompromise,mendeley_financial
আপনার জয়েন্ট অ্যাকাউন্টে সন্দেহজনক লেনদেন হয়েছে।,L0_Ham,mendeley_financial
সতর্কতা: অজানা নম্বর থেকে কল আসলে অবহেলা করুন।,L0_Ham,mendeley_financial
"আজকের <DATE_TIME> সফল হয়েছে, পণ্য গ্রহণের জন্য ধন্যবাদ।",L0_Ham,mendeley_financial
Your package has been shipped. Track your delivery at this link.,L0_Ham,mendeley_financial
Congratulations! You've won a free gift card. Click now to claim.,S6_PhishingLink,mendeley_financial
Our records show suspicious activity in your account. Contact support.,L0_Ham,mendeley_financial
Your subscription is about to expire. Renew now for uninterrupted service.,L0_Ham,mendeley_financial
You have an overdue bill of BDT 3000. Pay immediately to avoid disconnect.,L0_Ham,mendeley_financial
Loan approved! Send your details to receive funds <DATE_TIME>.,S4_LoanJob,mendeley_financial
Fake invoice attached. Please review and click the link to pay.,S6_PhishingLink,mendeley_financial
Your car insurance claim has been approved. Contact us to finalize.,L0_Ham,mendeley_financial
It’s your last chance to claim your cashback. Act now!,S2_FakePromo,mendeley_financial
"You have been selected for a surveys. Complete now and win BDT 10,000.",S3_LotteryPrize,mendeley_financial
Attention! Your mobile data plan will expire <DATE_TIME>. Renew now.,L0_Ham,mendeley_financial
Fake urgent message: You owe BDT 500 for missed payment. Pay now.,L0_Ham,mendeley_financial
Your bank account is locked. Verify now to regain access.,S1_AccountCompromise,mendeley_financial
Limited-time deal: Buy now and get 50% discount on all products.,S2_FakePromo,mendeley_financial
Mystery shopping opportunity! Earn BDT <DATE_TIME>. Sign up now.,S1_AccountCompromise,mendeley_financial
Your recent transaction of BDT 4200 was successfully processed.,L0_Ham,mendeley_financial
Your gaming account has been hacked. Change your password immediately.,S1_AccountCompromise,mendeley_financial
"অবিলম্বে আপনার একাউন্ট যাচাই করুন, না হলে এটি বন্ধ হয়ে যাবে।",S1_AccountCompromise,mendeley_financial
"আজকের বিশেষ ছাড়ে অংশ নিন, আজই যোগাযোগ করুন।",S2_FakePromo,mendeley_financial
"আপনার লোন আবেদন সফল, দ্রুত OTP দিন যাচাইয়ের জন্য।",S1_AccountCompromise,mendeley_financial
