MSG_ID,SOURCE,TEXT,PRE_LABEL,A1_SATTER,A2_MARWAN,AGREE,GOLD_LABEL,ADJUDICATOR_NOTE
MSG0001,banglabarta,আপনার দিন কেমন কাটছে?,L0_Ham,L0_Ham,S5_Impersonation,NO,L0_Ham,Casual greeting — no scam content. Marwan over-applied S5.
MSG0002,mendeley_financial,"আপনার নাম্বারে লোন পেয়েছে, ফর্ম জমা দিন দ্রুত!",S1_AccountCompromise,S4_LoanJob,S1_AccountCompromise,NO,S4_LoanJob,Loan form submission with urgency — primary tactic is fake loan. A1 correct.
MSG0003,banglabarta,কুল সব আপডেট <DATE_TIME> না করতে এখনই জয়েন স্কিটো টেলিগ্রাম: <URL>,S2_FakePromo,S2_FakePromo,S2_FakePromo,YES,S2_FakePromo,Annotators agreed
MSG0004,mendeley_financial,<DATE_TIME> subscription paid successfully.,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0005,banglabarta,"1 টা স্টরি লিখে দিলে 40 টাকা
2 টা স্টরি 80 টাকা
5 টা লিখলে 200 টাকা
ডেইলি ৬-৭ টা পিক দেওয়া হবে সেটা দেখে দেখে লিখতে হবে শুধু।
😊 কাজ করার সাথে সাথেই পেমেন্ট পাবেন ইনশাআল্লাহ
এড ফি ৫০ টাকা <DATE_TIME>",S6_PhishingLink,S4_LoanJob,S6_PhishingLink,NO,S4_LoanJob,Story writing for pay with 50 TK entry fee — advance-fee job scam. A1 correct.
MSG0006,banglabarta,আমি যে অনেক দুঃখ এবং কারণ পেয়েছি সেটি হল বিশেষ সময় সম্পর্কে আমি আবার বলতে চাই।,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0007,banglabarta,"তুমি পারবে, আমি <NRP>।",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0008,banglabarta,আপনার ব্যবসার জন্য ডিজাইন এবং মার্কেটিং সম্পর্কে জানুন! প্রফেশনাল পরামর্শ পান এবং ব্যবসা পরিচালনা এর দিকে তাকিয়ে চলুন। যোগাযোগ করুন বিস্তারিত জানতে এই লিঙ্কে ক্লিক করুন:<URL>,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0009,mendeley_financial,Your Apple ID has been temporarily disabled. Verify now to avoid permanent lockout,S1_AccountCompromise,S1_AccountCompromise,S1_AccountCompromise,YES,S1_AccountCompromise,Annotators agreed
MSG0010,banglabarta,শুভ জন্মদিন অভিনন্দন!,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0011,banglabarta,ইংলিশ প্রিমিয়ার লিগে বাজি ধরুন এবং ১ কোটি টাকা জিতুন। শুরু করুন: <URL>,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0012,banglabarta,<PHONE_NUMBER> এই নাম্বারে টাকা পাঠা।,L0_Ham,L0_Ham,S5_Impersonation,NO,S1_AccountCompromise,"Sending money to unknown number — account compromise attempt, not mere impersonation."
MSG0013,banglabarta,"তোমার সামর্থ্য সীমাহীন, সামনে এগিয়ে যাও।",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0014,banglabarta,বিনামূল্যে ক্রিপ্টো পাওয়ার সুযোগ! এখানে ক্লিক করুন: <URL>,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0015,mendeley_financial,Urgent! Your login was from an unknown device. Confirm your identity now.,S1_AccountCompromise,S1_AccountCompromise,S5_Impersonation,NO,S1_AccountCompromise,Unknown device alert asking for identity confirm — primary harm is credential theft (S1). S5 is secondary.
MSG0016,mendeley_financial,আপনার ওটিপি কোড দিন অন্যথায় একাউন্ট বন্ধ হবে।,S1_AccountCompromise,S1_AccountCompromise,S1_AccountCompromise,YES,S1_AccountCompromise,Annotators agreed
MSG0017,banglabarta,তুমি কি কনসার্টে যাচ্ছো?,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0018,banglabarta,আমার বাড়ির <PERSON> ফুল ফোটে আছে।,L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0019,banglabarta,"২০০৳ ক্যাশব্যাকে সেরা অফার ৬১জিবি+১০০০মি@৳৬৯৯, ৩০দিন: <URL>",S2_FakePromo,S2_FakePromo,L0_Ham,NO,S2_FakePromo,"GP cashback offer with URL but brand is real GP — borderline, label as FakePromo since cannot verify legitimacy in isolation."
MSG0020,banglabarta,আপনার সিভি আমাদের চাকরির জন্য নির্বাচিত হয়েছে। <PERSON> করেই <NRP> বসে রোজ ৮ হাজার টাকা বেতন <PERSON>। অফার লেটার গ্রহণ করতে এই লিঙ্কে ক্লিক করুন।,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0021,banglabarta,কোন ডাউন পেমেন্ট ছাড়াই ১০০% গাড়ি লোন সুবিধা। আজই আবেদন করুন। যোগাযোগ: <DATE_TIME>,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0022,app_review_,"So disappointed with this update. I'm not being able to log in. The OTP verification Doesn't work at all, neither automatic ditection or manual input is Working. I'm using the registered number and all permissions are given, still no luck. This is so disappointing, It's very cluttered, and not user friendly at all. Expecting an immediate fix by giving option to input OTP manually.",S1_AccountCompromise,L0_Ham,S1_AccountCompromise,NO,L0_Ham,Genuine angry app review about OTP failure — not a scam message.
MSG0023,mendeley_financial,"Urgent: Pay BDT 10,000 to avoid legal action related to tax dues.",S1_AccountCompromise,S5_Impersonation,S5_Impersonation,YES,S5_Impersonation,Annotators agreed
MSG0024,mendeley_financial,"I transferred the rent 12,000 BDT to your account. Check and tell me if it cleared",L0_Ham,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0025,banglabarta,10 বছর আগে আজকের দিনেই শুরু হয়েছিল গ্রামীণফোনের সাথে আপনার পথচলা। আশা করি আগামী দিনগুলো হবে আরো সুন্দর ও সম্ভাবনাময়।,S2_FakePromo,L0_Ham,L0_Ham,YES,L0_Ham,Annotators agreed
MSG0026,mendeley_financial,Important: Your account verification is pending. Please provide OTP.,S1_AccountCompromise,S1_AccountCompromise,S5_Impersonation,NO,S1_AccountCompromise,OTP solicitation — primary tactic is account compromise. Priority rule: S1 > S5.
MSG0027,banglabarta,সোনালী ব্যাংক অ্যাকাউন্টে ত্রুটি <PERSON>। কল করুন: <PHONE_NUMBER>,S6_PhishingLink,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
MSG0028,banglabarta,ক্যাসিনোতে বেট করুন এবং ১০০% বোনাস জিতুন! এখানে শুরু করুন: <URL>,S6_PhishingLink,S6_PhishingLink,S3_LotteryPrize,NO,S6_PhishingLink,Casino bonus with URL — link is primary mechanism. S6 by priority rule.
MSG0029,mendeley_financial,Immediate action required! Suspicious login detected. Confirm your password.,S1_AccountCompromise,S1_AccountCompromise,S5_Impersonation,NO,S1_AccountCompromise,Password request with suspicious login alert — credential theft is primary harm.
MSG0030,mendeley_financial,আপনার অ্যাকাউন্ট ভেরিফিকেশন করতে নিচের লিঙ্কে ক্লিক করুন।,S1_AccountCompromise,S6_PhishingLink,S6_PhishingLink,YES,S6_PhishingLink,Annotators agreed
