label,message
scam,Claim your loan approved by sending OTP immediately.
scam,"Fraudulent transaction detected, provide your OTP."
scam,"Your account has been suspended, verify OTP now!"
ham,Your account balance is adequate.
ham,Please ignore unknown SMS.
scam,Click here to reset your banking password.
ham,Payment received successfully.
scam,Send your OTP to claim your prize!
scam,Your debit card has been blocked.
ham,"New offers available, accept today!"
scam,"Your account is at risk, immediate action required."
ham,"Your mobile recharge was successful, thank you."
scam,"Your loan application is approved, send OTP now!"
ham,Do not share your bank details with anyone.
scam,Account hacked! Open the app now to secure it.
ham,"Your OTP code expires in 5 minutes, do not share"
scam,"Loan approved, confirm by sending OTP code."
scam,Update your account details to avoid suspension.
ham,Thank you for using our service.
ham,"নতুন অফার এসেছে, আজই অ্যাকসেপ্ট করুন।"
scam,Claim your loan approved by sending OTP.
scam,"Fraudulent transaction detected, provide OTP."
scam,"জরুরি! আপনার ব্যাংক একাউন্ট বন্ধ হওয়ার ঝুঁকি, OTP: 3798"
ham,আপনার একাউন্টে ৫০০ টাকা জমা হয়েছে।
ham,"Your OTP is 8741, do not share it with anyone."
scam,Click here to reset your banking password.
scam,"আপনার নাম্বারে লোন পেয়েছে, ফর্ম জমা দিন দ্রুত!"
scam,"Your account suspended, verify OTP now!"
scam,সাবধান! আপনার একাউন্ট থেকে অস্বীকৃত টাকা উত্তোলন হয়েছে। জরুরি যাচাই করুন।
ham,"আপনার OTP কোড 834729, কেউ যাতে জানতে না পারে সতর্ক থাকুন।"
scam,"আপনার মোবাইল ব্যাংকিং একাউন্ট বন্ধ হতে যাচ্ছে, এখনি লগইন করুন।"
ham,"আপনার একাউন্ট চালু রয়েছে, সর্বশেষ ব্যালেন্স ১০,০০০ টাকা।"
scam,"ডেবিট কার্ড ব্যবহার সীমিত করতে OTP দিন, অন্যথায় একাউন্ট ব্লক হবে।"
scam,আপনার অ্যাকাউন্ট ভেরিফিকেশন করতে নিচের লিঙ্কে ক্লিক করুন।
scam,"ওয়ালেট রিচার্জ সফল হয়েছে, পরবর্তী লেনদেনের জন্য প্রস্তুত থাকুন।"
ham,নতুন অফার! আপনার একাউন্টে নগদ টাকা রিফান্ড করা হয়েছে
scam,অবিলম্বে OTP দিন অন্যথায় অ্যাকাউন্ট থেকে টাকা উঠে যেতে পারে।
ham,"আপনার ট্রান্সপোর্ট ফি জমা হয়েছে, ধন্যবাদ।"
scam,ব্যাংকের তরফ থেকে জরুরি বার্তা: আপনার একাউন্ট আপডেট করুন আজই।
ham,"আপনার মোবাইল ব্যাংকিং PIN পরিবর্তন করা হয়েছে, যদি না করেন তবে রিপোর্ট করুন।"
scam,একাউন্ট সিকিউরিটি হুমকি! নিম্নলিখিত OTP দিয়ে যাচাই সম্পন্ন করুন।
scam,"আপনার লোন আবেদন প্রক্রিয়াধীন, সম্পূর্ণ করতে OTP দিন।"
ham,আপনার ব্যালেন্স ৫০০০ টাকার নিচে এসে গেছে।
scam,"আপনার ডেবিট কার্ডের নিরাপত্তা লঙ্ঘিত হয়েছে, অবিলম্বে যাচাই করতে OTP দিন।"
scam,"আপনার ডেবিট কার্ড থেকে ৫০০০ টাকা কাটা হয়েছে, অবিলম্বে TRX কোড পাঠান।"
scam,Congratulations! You won a prize. Please send OTP to claim.
ham,আপনার মোবাইল অ্যাপ্লিকেশন আপডেট সফল হয়েছে।
ham,"Your OTP is 789654, keep it confidential to secure your account."
scam,Claim your cashback by entering OTP received in next 5 minutes.
scam,নিরাপত্তার জন্য আপনার ফোন থেকে আমাদের কনফার্মেশন চান।
scam,Important: Your account verification is pending. Please provide OTP.
scam,Your debit card transaction of 5000 taka was declined. Contact support.
scam,Congratulations! Claim your reward by submitting OTP within 10 minutes.
scam,"Your recent login was from a new device. If not you, verify with OTP."
scam,Update your payment information immediately to avoid suspension.
ham,Your mobile recharge of 20 taka is successful. Thank you for your payment.
ham,Refund of 100 taka has been processed to your account.
