label,text,feat_char_count,feat_word_count,feat_sentence_count,feat_avg_word_length,feat_contains_bangla,feat_bangla_ratio,feat_contains_english,feat_is_code_mixed,feat_has_url,feat_url_count,feat_has_url_shortener,feat_has_phone,feat_phone_count,feat_urgency_word_count,feat_has_urgency,feat_scam_indicator_count,feat_has_scam_indicator,feat_action_word_count,feat_has_action,feat_exclamation_count,feat_question_count,feat_all_caps_words,feat_digit_count,feat_digit_ratio,feat_mentions_bkash,feat_mentions_nagad,feat_mentions_rocket,feat_mentions_dbbl,feat_mentions_otp,feat_mentions_pin,feat_has_spelling_error,feat_readability_score
smish,সোনালী ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: <PHONE_NUMBER>,64,8,2,7.125,True,1.1714285714285715,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
smish,ক্রিপ্টো বিনিয়োগে লাভবান হন! আজই শুরু করুন: <URL>,50,8,2,5.375,True,1.44,True,True,False,0,False,False,0,1,True,0,False,0,False,1,0,1,0,0.0,False,False,False,False,False,False,False,0
promo,"স্পেশাল ডিল শেষ দিন,৩০জিবি @৩০০৳,৩০দিন! আজই নাও- <URL>",54,8,2,5.875,True,1.6818181818181819,True,True,False,0,False,False,0,2,True,0,False,0,False,1,0,1,7,0.12962962962962962,False,False,False,False,False,False,False,0
promo,ফার্নিচারে মেগা সেল! সব পণ্যে <DATE_TIME>। আজই ভিজিট করুন।,58,9,3,5.555555555555555,True,1.1612903225806452,True,True,False,0,False,False,0,1,True,0,False,0,False,1,0,1,0,0.0,False,False,False,False,False,False,False,0
smish,আপনার ব্যাংক কার্ডটি অবিলম্বে আপডেট করুন। এখানে ক্লিক করুন: [<URL>,66,10,2,5.7,True,1.4,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
promo,"৪০৳ ক্যাশব্যাক! ৪৬জিবি @৪৫৮৳, ৩০দিন, <PERSON> নাও এখনই: <URL>",61,9,2,5.888888888888889,True,1.4,True,True,False,0,False,False,0,0,False,0,False,0,False,1,0,2,9,0.14754098360655737,False,False,False,False,False,False,False,0
smish,আজই ক্যাসিনোতে বাজি ধরুন এবং একটি বিলাসবহুল ট্রিপ জিতুন! যোগ দিন: <URL>,71,12,2,5.0,True,1.4324324324324325,True,True,False,0,False,False,0,1,True,0,False,0,False,1,0,1,0,0.0,False,False,False,False,False,False,False,0
promo,নতুন কাস্টমারদের জন্য বিশেষ ডিসকাউন্ট। আজই রেজিস্টার করুন।,58,8,2,6.375,True,1.4848484848484849,False,False,False,0,False,False,0,2,True,0,False,0,False,0,0,0,0,0.0,False,False,False,False,False,False,False,0
promo,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।,47,8,2,5.0,True,1.6818181818181819,False,False,False,0,False,False,0,1,True,1,True,0,False,0,0,0,2,0.0425531914893617,False,False,False,False,False,False,False,0
promo,"হটশট <NRP> ৳২০! হটস্পট ডিলে ২২জিবি@৳১৭৭, ৭দিন: <URL>",52,8,2,5.625,True,1.4761904761904763,True,True,False,0,False,False,0,0,False,0,False,0,False,1,0,2,8,0.15384615384615385,False,False,False,False,False,False,False,0
promo,"৳৮০ ক্যাশব্যাকে বেশি বেশি ডাটা ৩০জিবি@৳৩১৯, ৩০দিন <URL>",55,8,1,6.0,True,2.1578947368421053,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,9,0.16363636363636364,False,False,False,False,False,False,False,0
smish,আপনার অ্যাকাউন্টটি সাময়িকভাবে নিষ্ক্রিয় করা হয়েছে। সক্রিয় করতে এখানে ক্লিক করুন: [<URL>,91,12,2,6.666666666666667,True,1.565217391304348,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
promo,<#> আপনার মাইজিপি পিন (code) হচ্ছে: 4283. ভেরিফাই করতে এই পিনটি ব্যবহার করুন. অপব্যবহার ঠেকাতে এই পিনটি ফরওয়ার্ড অথবা কারো সাথে শেয়ার করবেন না FyXTPoy9ZDa,154,25,3,5.2,True,1.2409638554216869,True,True,False,0,False,False,0,0,False,1,True,0,False,0,0,0,5,0.032467532467532464,False,False,False,False,False,False,False,0
promo,নতুন গ্রাহকদের জন্য স্পেশাল অফার! <PERSON> ৩০% ছাড়।,52,8,2,5.625,True,1.2592592592592593,True,True,False,0,False,False,0,0,False,1,True,0,False,1,0,1,2,0.038461538461538464,False,False,False,False,False,False,False,0
promo,"ঢাকা-মাওয়া এক্সপ্রেসওয়ে সংলগ্ন আবাসিক প্লট কাঠা নিম্ন২লক্ষ
<US_BANK_NUMBER>",75,8,1,8.5,True,1.1590909090909092,True,True,False,0,False,False,0,0,False,0,False,0,False,0,0,1,1,0.013333333333333334,False,False,False,False,False,False,False,0
smish,আপনার নম্বরটি পুরস্কার জিতেছে। বিস্তারিত জানতে কল করুন <PHONE_NUMBER>,69,9,2,6.777777777777778,True,1.1219512195121952,True,True,False,0,False,False,0,0,False,1,True,1,True,0,0,1,0,0.0,False,False,False,False,False,False,False,0
normal,শুভ জন্মদিন!,12,2,1,5.5,True,1.4285714285714286,False,False,False,0,False,False,0,0,False,0,False,0,False,1,0,0,0,0.0,False,False,False,False,False,False,False,0
normal,"তোমার আগে কোনো বই পড়েছি? হ্যাঁ, অনেক বই পড়েছি। তুমি কি?",55,11,3,4.090909090909091,True,1.64,False,False,False,0,False,False,0,0,False,0,False,0,False,0,2,0,0,0.0,False,False,False,False,False,False,False,0
promo,<PERSON> স্টক শেষ হওয়ার আগে সুযোগ নিন।,38,7,1,4.571428571428571,True,1.0454545454545454,True,True,False,0,False,False,0,1,True,0,False,0,False,0,0,1,0,0.0,False,False,False,False,False,False,False,0
promo,"আজ ও কাল মেন্স ওয়ার্ল্ড এর সকল শাখায় ফ্ল্যাট ৫০% ডিসকাউন্ট
<URL>",64,12,1,4.416666666666667,True,1.3823529411764706,True,True,False,0,False,False,0,0,False,0,False,1,True,0,0,1,2,0.03125,False,False,False,False,False,False,False,0
promo,"৩৫জিবি+৮০০মিনিট-৬০০টাকা-৩০দিন(বোনাসসহ), নিতে *১২১*৫২৬২# বা <URL>",64,5,1,12.0,True,2.3,True,True,False,0,False,False,0,0,False,1,True,0,False,0,0,1,17,0.265625,False,False,False,False,False,False,False,0
